"","symbol","date"
"152","GOOG",2018-04-03 19:30:00
"153","GOOG",2018-04-03 19:35:00
"154","GOOG",2018-04-03 19:40:00
"155","GOOG",2018-04-03 19:45:00
"156","GOOG",2018-04-03 19:50:00
"157","GOOG",2018-04-03 19:55:00
"158","GOOG",2018-04-03 20:00:00
"159","GOOG",2018-04-04 13:30:00
"160","GOOG",2018-04-04 13:35:00
"161","GOOG",2018-04-04 13:40:00
"162","GOOG",2018-04-04 13:45:00
"163","GOOG",2018-04-04 13:50:00
"164","GOOG",2018-04-04 13:55:00
"165","GOOG",2018-04-04 14:00:00
"166","GOOG",2018-04-04 14:05:00
"167","GOOG",2018-04-04 14:10:00
"168","GOOG",2018-04-04 14:15:00
"169","GOOG",2018-04-04 14:20:00
"170","GOOG",2018-04-04 14:25:00
"171","GOOG",2018-04-04 14:30:00
"172","GOOG",2018-04-04 14:35:00
"173","GOOG",2018-04-04 14:40:00
"174","GOOG",2018-04-04 14:45:00
"175","GOOG",2018-04-04 14:50:00
"176","GOOG",2018-04-04 14:55:00
"177","GOOG",2018-04-04 15:00:00
"178","GOOG",2018-04-04 15:05:00
"179","GOOG",2018-04-04 15:10:00
"180","GOOG",2018-04-04 15:15:00
"181","GOOG",2018-04-04 15:20:00
"182","GOOG",2018-04-04 15:25:00
"183","GOOG",2018-04-04 15:30:00
"184","GOOG",2018-04-04 15:35:00
"185","GOOG",2018-04-04 15:40:00
"186","GOOG",2018-04-04 15:45:00
"187","GOOG",2018-04-04 15:50:00
"188","GOOG",2018-04-04 15:55:00
"189","GOOG",2018-04-04 16:00:00
"190","GOOG",2018-04-04 16:05:00
"191","GOOG",2018-04-04 16:10:00
"192","GOOG",2018-04-04 16:15:00
"193","GOOG",2018-04-04 16:20:00
"194","GOOG",2018-04-04 16:25:00
"195","GOOG",2018-04-04 16:30:00
"196","GOOG",2018-04-04 16:35:00
"197","GOOG",2018-04-04 16:40:00
"198","GOOG",2018-04-04 16:45:00
"199","GOOG",2018-04-04 16:50:00
"200","GOOG",2018-04-04 16:55:00
"201","GOOG",2018-04-04 17:00:00
"202","GOOG",2018-04-04 17:05:00
"203","GOOG",2018-04-04 17:10:00
"204","GOOG",2018-04-04 17:15:00
"205","GOOG",2018-04-04 17:20:00
"206","GOOG",2018-04-04 17:25:00
"207","GOOG",2018-04-04 17:30:00
"208","GOOG",2018-04-04 17:35:00
"209","GOOG",2018-04-04 17:40:00
"210","GOOG",2018-04-04 17:45:00
"211","GOOG",2018-04-04 17:50:00
"212","GOOG",2018-04-04 17:55:00
"213","GOOG",2018-04-04 18:00:00
"214","GOOG",2018-04-04 18:05:00
"215","GOOG",2018-04-04 18:10:00
"216","GOOG",2018-04-04 18:15:00
"217","GOOG",2018-04-04 18:20:00
"218","GOOG",2018-04-04 18:25:00
"219","GOOG",2018-04-04 18:30:00
"220","GOOG",2018-04-04 18:35:00
"221","GOOG",2018-04-04 18:40:00
"222","GOOG",2018-04-04 18:45:00
"223","GOOG",2018-04-04 18:50:00
"224","GOOG",2018-04-04 18:55:00
"225","GOOG",2018-04-04 19:00:00
"226","GOOG",2018-04-04 19:05:00
"227","GOOG",2018-04-04 19:10:00
"228","GOOG",2018-04-04 19:15:00
"229","GOOG",2018-04-04 19:20:00
"230","GOOG",2018-04-04 19:25:00
"231","GOOG",2018-04-04 19:30:00
"232","GOOG",2018-04-04 19:35:00
"233","GOOG",2018-04-04 19:40:00
"234","GOOG",2018-04-04 19:45:00
"235","GOOG",2018-04-04 19:50:00
"236","GOOG",2018-04-04 19:55:00
"237","GOOG",2018-04-04 20:00:00
"238","GOOG",2018-04-05 13:30:00
"239","GOOG",2018-04-05 13:35:00
"240","GOOG",2018-04-05 13:40:00
"241","GOOG",2018-04-05 13:45:00
"242","GOOG",2018-04-05 13:50:00
"243","GOOG",2018-04-05 13:55:00
"244","GOOG",2018-04-05 14:00:00
"245","GOOG",2018-04-05 14:05:00
"246","GOOG",2018-04-05 14:10:00
"247","GOOG",2018-04-05 14:15:00
"248","GOOG",2018-04-05 14:20:00
"249","GOOG",2018-04-05 14:25:00
"250","GOOG",2018-04-05 14:30:00
"251","GOOG",2018-04-05 14:35:00
"252","GOOG",2018-04-05 14:40:00
"253","GOOG",2018-04-05 14:45:00
"254","GOOG",2018-04-05 14:50:00
"255","GOOG",2018-04-05 14:55:00
"256","GOOG",2018-04-05 15:00:00
"257","GOOG",2018-04-05 15:05:00
"258","GOOG",2018-04-05 15:10:00
"259","GOOG",2018-04-05 15:15:00
"260","GOOG",2018-04-05 15:20:00
"261","GOOG",2018-04-05 15:25:00
"262","GOOG",2018-04-05 15:30:00
"263","GOOG",2018-04-05 15:35:00
"264","GOOG",2018-04-05 15:40:00
"265","GOOG",2018-04-05 15:45:00
"266","GOOG",2018-04-05 15:50:00
"267","GOOG",2018-04-05 15:55:00
"268","GOOG",2018-04-05 16:00:00
"269","GOOG",2018-04-05 16:05:00
"270","GOOG",2018-04-05 16:10:00
"271","GOOG",2018-04-05 16:15:00
"272","GOOG",2018-04-05 16:20:00
"273","GOOG",2018-04-05 16:25:00
"274","GOOG",2018-04-05 16:30:00
"275","GOOG",2018-04-05 16:35:00
"276","GOOG",2018-04-05 16:40:00
"277","GOOG",2018-04-05 16:45:00
"278","GOOG",2018-04-05 16:50:00
"279","GOOG",2018-04-05 16:55:00
"280","GOOG",2018-04-05 17:00:00
"281","GOOG",2018-04-05 17:05:00
"282","GOOG",2018-04-05 17:10:00
"283","GOOG",2018-04-05 17:15:00
"284","GOOG",2018-04-05 17:20:00
