"","symbol","date"
"152","AAPL",2018-04-03 19:30:00
"153","AAPL",2018-04-03 19:35:00
"154","AAPL",2018-04-03 19:40:00
"155","AAPL",2018-04-03 19:45:00
"156","AAPL",2018-04-03 19:50:00
"157","AAPL",2018-04-03 19:55:00
"158","AAPL",2018-04-03 20:00:00
"159","AAPL",2018-04-04 13:30:00
"160","AAPL",2018-04-04 13:35:00
"161","AAPL",2018-04-04 13:40:00
"162","AAPL",2018-04-04 13:45:00
"163","AAPL",2018-04-04 13:50:00
"164","AAPL",2018-04-04 13:55:00
"165","AAPL",2018-04-04 14:00:00
"166","AAPL",2018-04-04 14:05:00
"167","AAPL",2018-04-04 14:10:00
"168","AAPL",2018-04-04 14:15:00
"169","AAPL",2018-04-04 14:20:00
"170","AAPL",2018-04-04 14:25:00
"171","AAPL",2018-04-04 14:30:00
"172","AAPL",2018-04-04 14:35:00
"173","AAPL",2018-04-04 14:40:00
"174","AAPL",2018-04-04 14:45:00
"175","AAPL",2018-04-04 14:50:00
"176","AAPL",2018-04-04 14:55:00
"177","AAPL",2018-04-04 15:00:00
"178","AAPL",2018-04-04 15:05:00
"179","AAPL",2018-04-04 15:10:00
"180","AAPL",2018-04-04 15:15:00
"181","AAPL",2018-04-04 15:20:00
"182","AAPL",2018-04-04 15:25:00
"183","AAPL",2018-04-04 15:30:00
"184","AAPL",2018-04-04 15:35:00
"185","AAPL",2018-04-04 15:40:00
"186","AAPL",2018-04-04 15:45:00
"187","AAPL",2018-04-04 15:50:00
"188","AAPL",2018-04-04 15:55:00
"189","AAPL",2018-04-04 16:00:00
"190","AAPL",2018-04-04 16:05:00
"191","AAPL",2018-04-04 16:10:00
"192","AAPL",2018-04-04 16:15:00
"193","AAPL",2018-04-04 16:20:00
"194","AAPL",2018-04-04 16:25:00
"195","AAPL",2018-04-04 16:30:00
"196","AAPL",2018-04-04 16:35:00
"197","AAPL",2018-04-04 16:40:00
"198","AAPL",2018-04-04 16:45:00
"199","AAPL",2018-04-04 16:50:00
"200","AAPL",2018-04-04 16:55:00
"201","AAPL",2018-04-04 17:00:00
"202","AAPL",2018-04-04 17:05:00
"203","AAPL",2018-04-04 17:10:00
"204","AAPL",2018-04-04 17:15:00
