Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-27 00:00:00-04:00,133.40418583761337,133.79943728460265,132.51489646716428,132.79156494140625,66015800,0.0,0.0
2021-04-28 00:00:00-04:00,132.71253949075805,133.4141015171567,131.49717310306022,131.99122619628906,107760100,0.0,0.0
2021-04-29 00:00:00-04:00,134.84680641826998,135.43967595858533,130.87461668367416,131.89236450195312,151101000,0.0,0.0
2021-04-30 00:00:00-04:00,130.21257883252144,131.97140591946933,129.5110321701208,129.89639282226562,109839500,0.0,0.0
2021-05-03 00:00:00-04:00,130.4694938127345,132.47536262104222,130.26200002114007,130.9635467529297,75135100,0.0,0.0
2021-05-04 00:00:00-04:00,129.6296078780816,129.9260426462642,125.19300721783506,126.32933044433594,137564700,0.0,0.0
2021-05-05 00:00:00-04:00,127.66327766929642,128.89841002886257,126.44791164912715,126.57637023925781,84000900,0.0,0.0
2021-05-06 00:00:00-04:00,126.36889697590715,128.20677504789396,125.61793417886962,128.1968994140625,78128300,0.0,0.0
2021-05-07 00:00:00-04:00,129.5132984660394,129.91909860337248,128.15728352947872,128.8798370361328,78973300,0.22,0.0
2021-05-10 00:00:00-04:00,128.08798336821943,128.21664505069202,125.51453827803982,125.55413055419922,88071200,0.0,0.0
2021-05-11 00:00:00-04:00,122.238379882879,124.98007949364379,121.51583390991847,124.62376403808594,126142800,0.0,0.0
2021-05-12 00:00:00-04:00,122.1393923481443,123.36672284831488,121.00113881626868,121.51582336425781,112172300,0.0,0.0
2021-05-13 00:00:00-04:00,123.3073364522299,124.86129758366512,122.99060576147416,123.69335174560547,105861300,0.0,0.0
2021-05-14 00:00:00-04:00,124.96027963213207,126.58352543274192,124.56436436459062,126.14801788330078,81918000,0.0,0.0
2021-05-17 00:00:00-04:00,125.52445645839093,125.63333334577224,123.89131069912692,124.98007202148438,74244600,0.0,0.0
2021-05-18 00:00:00-04:00,125.2671077014559,125.69271528346597,123.5052927275625,123.57457733154297,63342900,0.0,0.0
2021-05-19 00:00:00-04:00,121.90184513007249,123.64386016273441,121.60490680215345,123.41621398925781,92612000,0.0,0.0
2021-05-20 00:00:00-04:00,123.95069194397722,126.41525275113119,123.82201515128581,126.00943756103516,76857100,0.0,0.0
2021-05-21 00:00:00-04:00,126.51422733686044,126.69238881068367,123.93088974215122,124.14864349365234,79295400,0.0,0.0
2021-05-24 00:00:00-04:00,124.72272864394957,126.63301275048374,124.65344404118223,125.80158996582031,63092900,0.0,0.0
2021-05-25 00:00:00-04:00,126.5142298159894,127.00912952093384,125.02955335552099,125.60363006591797,72009500,0.0,0.0
2021-05-26 00:00:00-04:00,125.66300742577396,126.08861495516939,125.1285230248038,125.55413055419922,56575900,0.0,0.0
2021-05-27 00:00:00-04:00,125.14832888488654,126.33606702028453,123.8022216373262,124.00017547607422,94625600,0.0,0.0
2021-05-28 00:00:00-04:00,124.28721288542458,124.51486659456722,123.2776362331405,123.33702087402344,71311100,0.0,0.0
2021-06-01 00:00:00-04:00,123.8022140151078,124.06945243610987,122.67386059051336,123.01038360595703,67637100,0.0,0.0
2021-06-02 00:00:00-04:00,123.0104019454292,123.96059404720042,122.7827557660906,123.78243255615234,59278900,0.0,0.0
2021-06-03 00:00:00-04:00,123.40630760658274,123.57456912629779,121.87213891129741,122.2779541015625,76229200,0.0,0.0
2021-06-04 00:00:00-04:00,122.8025432959107,124.87119650226568,122.58478953193067,124.60395050048828,75169300,0.0,0.0
2021-06-07 00:00:00-04:00,124.88108426558153,125.0295534219983,123.55477691822296,124.61384582519531,71057600,0.0,0.0
2021-06-08 00:00:00-04:00,125.30669751839683,127.14770456965073,124.92068222503151,125.44526672363281,74403800,0.0,0.0
2021-06-09 00:00:00-04:00,125.91046049666781,126.4449449273887,125.22750690994862,125.8312759399414,56877900,0.0,0.0
2021-06-10 00:00:00-04:00,125.72240085316918,126.88045424528792,124.65343952795544,124.82170104980469,71186400,0.0,0.0
2021-06-11 00:00:00-04:00,125.23739610182308,126.13810336638642,124.81178858532309,126.04901885986328,53522400,0.0,0.0
2021-06-14 00:00:00-04:00,126.51422668553421,129.20643359067904,125.77188847366834,129.1470489501953,96906500,0.0,0.0
2021-06-15 00:00:00-04:00,128.61256634383574,129.26582756582545,128.06818199217767,128.3156280517578,62746300,0.0,0.0
2021-06-16 00:00:00-04:00,129.03817306357175,129.55286512322317,127.1476965477483,128.82041931152344,91815000,0.0,0.0
2021-06-17 00:00:00-04:00,128.47400348532724,131.19591027483455,128.3255267805174,130.44366455078125,96721700,0.0,0.0
2021-06-18 00:00:00-04:00,129.37470436021613,130.16651966808064,128.90950456024584,129.12725830078125,108953300,0.0,0.0
2021-06-21 00:00:00-04:00,128.96890239135024,131.05734795074156,127.89004108654655,130.94847106933594,79663300,0.0,0.0
2021-06-22 00:00:00-04:00,130.78020569591038,132.71028207957275,130.27540603201484,132.61129760742188,74783600,0.0,0.0
2021-06-23 00:00:00-04:00,132.4034443691087,132.94782873137524,131.86895241237093,132.3341522216797,60214200,0.0,0.0
2021-06-24 00:00:00-04:00,133.07650348313197,133.26456492701087,131.5720270350113,132.04713439941406,68711000,0.0,0.0
2021-06-25 00:00:00-04:00,132.09662893563066,132.5222289662038,131.45326003206836,131.7501983642578,70783700,0.0,0.0
2021-06-28 00:00:00-04:00,132.04713744262705,133.86833707274428,131.98775279643576,133.40313720703125,62111300,0.0,0.0
2021-06-29 00:00:00-04:00,133.4229478828879,135.09568603241985,132.9775478976244,134.93731689453125,64556100,0.0,0.0
2021-06-30 00:00:00-04:00,134.77891406723,136.0062519247124,134.48197578363977,135.56085205078125,63261400,0.0,0.0
2021-07-01 00:00:00-04:00,135.20455257546746,135.92709094526174,134.37312221666343,135.86770629882812,52485800,0.0,0.0
2021-07-02 00:00:00-04:00,136.49124412959276,138.56979712767154,136.34278253097682,138.53021240234375,78852600,0.0,0.0
2021-07-06 00:00:00-04:00,138.6390767104056,141.68759868035858,138.6390767104056,140.56915283203125,108181800,0.0,0.0
2021-07-07 00:00:00-04:00,142.0736478097109,143.40986280666652,141.2026477973974,143.0931396484375,104911600,0.0,0.0
2021-07-08 00:00:00-04:00,140.13367246603667,142.5883334669232,139.2329650675363,141.77671813964844,105575500,0.0,0.0
2021-07-09 00:00:00-04:00,141.29173256708856,144.16210147824975,141.19274807929168,143.62762451171875,99890800,0.0,0.0
2021-07-12 00:00:00-04:00,144.71635662149927,144.8252334891912,142.52892686256487,143.02381896972656,76299700,0.0,0.0
2021-07-13 00:00:00-04:00,142.55863776519135,145.95360591641256,142.16273006901355,144.15219116210938,100827100,0.0,0.0
2021-07-14 00:00:00-04:00,146.58705089392313,148.04203492412447,146.17132822565804,147.62631225585938,127050800,0.0,0.0
2021-07-15 00:00:00-04:00,147.715410999908,148.46764161370334,145.58736574169922,146.96316528320312,106820300,0.0,0.0
2021-07-16 00:00:00-04:00,146.94337664147025,148.23008408625498,144.38973145992966,144.89451599121094,93251400,0.0,0.0
2021-07-19 00:00:00-04:00,142.28147340884138,142.59821159034723,140.2227205377767,140.9947509765625,121434600,0.0,0.0
2021-07-20 00:00:00-04:00,141.99447510171365,145.59728967382344,141.49958290717709,144.656982421875,96350000,0.0,0.0
2021-07-21 00:00:00-04:00,144.0433038634573,144.63718046768722,143.1525040600219,143.9146270751953,74993500,0.0,0.0
2021-07-22 00:00:00-04:00,144.44912364016224,146.68603072857414,144.320446847802,145.3003387451172,77338200,0.0,0.0
2021-07-23 00:00:00-04:00,146.04268165708558,147.20072751674385,145.4191126930733,147.0423583984375,71447400,0.0,0.0
